City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Touros,BR,-5.1989,-35.4608,81.5,71,15,13.35,few clouds
155,Agadez,NE,19.75,10.25,56.41,23,0,8.61,clear sky
156,Nabire,ID,-3.3667,135.4833,76.75,90,100,1.12,overcast clouds
157,Sobolevo,RU,54.4299,31.8996,-2.4,100,100,4.03,overcast clouds
158,Grand Gaube,MU,-20.0064,57.6608,79.38,83,100,8.01,overcast clouds
159,Poum,NC,-20.2333,164.0167,81.41,83,100,19.84,overcast clouds
160,Ahipara,NZ,-35.1667,173.1667,76.19,74,94,14.32,overcast clouds
161,Felanitx,ES,39.4696,3.1483,55.96,89,99,6.76,overcast clouds
162,Torbay,CA,47.6666,-52.7314,32.76,96,100,12.66,mist
163,Metro,ID,-5.1131,105.3067,73.04,98,100,4.43,overcast clouds
164,Mezinovskiy,RU,55.5042,40.3593,7.65,96,51,6.4,broken clouds
165,Matay,EG,28.419,30.7792,55.89,51,98,11.9,overcast clouds
166,Morant Bay,JM,17.8815,-76.4093,82.02,76,20,12.86,few clouds
167,Dunhua,CN,43.3725,128.2425,-3.75,90,54,7.83,broken clouds
168,Port Alfred,ZA,-33.5906,26.891,68.54,79,100,6.64,light rain
169,Eyrarbakki,IS,63.863,-21.1481,24.85,74,100,17.22,overcast clouds
170,Prince Rupert,CA,54.3161,-130.3201,41.09,93,100,17.27,moderate rain
171,Tucuman,AR,-26.8241,-65.2226,66.2,100,100,8.05,overcast clouds
172,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,55,20,8.05,few clouds
173,Marsh Harbour,BS,26.5412,-77.0636,74.57,62,75,10.94,broken clouds
174,Kaoma,ZM,-14.7833,24.8,63.68,96,100,3.91,overcast clouds
175,Oksfjord,NO,70.2396,22.3479,16.72,91,100,16.13,light snow
176,Arlit,NE,18.7369,7.3853,59.4,19,0,6.82,clear sky
177,Cidreira,BR,-30.1811,-50.2056,72.09,95,100,2.86,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,58.93,53,82,5.91,broken clouds
179,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,9.22,clear sky
180,Souillac,MU,-20.5167,57.5167,79.36,89,75,16.11,light rain
181,Praya,CV,14.9215,-23.5087,72.14,68,0,17.27,clear sky
182,Ilulissat,GL,69.2167,-51.1,12.22,79,75,19.57,light shower snow
183,Pevek,RU,69.7008,170.3133,-23.17,100,87,6.26,overcast clouds
184,Mayo,US,38.8876,-76.5119,40.33,92,100,4.0,light rain
185,East London,ZA,-33.0153,27.9116,68.83,84,100,8.1,light rain
186,Ostrovnoy,RU,68.0531,39.5131,8.08,91,100,15.66,overcast clouds
187,Rocha,UY,-34.4833,-54.3333,71.71,82,25,8.1,scattered clouds
188,Matamoros,MX,25.5333,-103.25,50.11,53,75,9.22,broken clouds
189,Bejar,ES,40.3864,-5.7634,44.58,85,100,5.88,overcast clouds
190,Kloulklubed,PW,7.0419,134.2556,81.59,81,30,14.34,scattered clouds
191,Harper,LR,4.375,-7.7169,79.99,80,33,7.14,scattered clouds
192,Kirksville,US,40.1948,-92.5833,29.05,51,20,4.0,few clouds
193,Eureka,US,40.8021,-124.1637,56.19,78,98,8.01,overcast clouds
194,Aklavik,CA,68.2191,-135.0107,-17.57,75,0,11.5,clear sky
195,Safaga,EG,26.7292,33.9365,58.95,47,3,6.6,clear sky
196,Carnarvon,AU,-24.8667,113.6333,83.23,42,75,10.87,broken clouds
197,Hadsund,DK,56.7148,10.1168,37.89,76,79,15.43,light rain
198,Altay,CN,47.8667,88.1167,6.3,54,0,8.9,clear sky
199,Ignacio Zaragoza,MX,28.3833,-107.2167,42.75,33,1,15.21,clear sky
200,Yeppoon,AU,-23.1333,150.7333,76.78,70,98,19.15,overcast clouds
201,Vila Velha,BR,-20.3297,-40.2925,78.94,85,75,1.99,broken clouds
202,Manaus,BR,-3.1019,-60.025,77.49,94,75,2.3,light rain
203,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,77,100,10.36,overcast clouds
204,Tessalit,ML,20.1986,1.0114,62.1,13,0,10.74,clear sky
205,Cedar City,US,37.6775,-113.0619,39.4,32,0,0.0,clear sky
206,Mar Del Plata,AR,-38.0023,-57.5575,70.09,86,75,1.01,moderate rain
207,Dicabisagan,PH,17.0818,122.4157,73.92,86,92,9.44,overcast clouds
208,Norman Wells,CA,65.282,-126.8329,-16.56,63,75,19.57,broken clouds
209,Abha,SA,18.2164,42.5053,57.02,82,0,16.11,clear sky
210,Te Anau,NZ,-45.4167,167.7167,52.48,62,27,4.65,scattered clouds
211,Pandan,PH,14.0453,124.1694,75.54,88,100,13.38,overcast clouds
212,Bom Jesus,BR,-9.0744,-44.3586,79.79,57,76,1.12,broken clouds
213,Bukene,TZ,-4.2333,32.8833,61.86,97,99,7.27,overcast clouds
214,Saint George,US,37.1041,-113.5841,52.43,21,0,5.75,clear sky
215,Polyarnyy,RU,69.1989,33.4478,10.87,82,100,13.22,overcast clouds
216,Princeton,US,25.5384,-80.4089,79.02,73,0,6.91,clear sky
217,Asau,RO,46.4333,26.4,32.4,79,29,5.77,scattered clouds
218,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,4.61,broken clouds
219,Baykit,RU,61.67,96.37,10.65,97,100,3.62,light snow
220,Bengkulu,ID,-3.8004,102.2655,73.02,95,100,5.17,overcast clouds
221,Yellowknife,CA,62.456,-114.3525,-22.72,75,40,3.44,scattered clouds
222,Lagoa,PT,39.05,-27.9833,57.92,83,72,16.89,broken clouds
223,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,75,6.91,broken clouds
224,Pizarro,CO,4.9533,-77.366,80.37,81,78,6.91,light rain
225,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,12.66,scattered clouds
226,Quelimane,MZ,-17.8786,36.8883,74.03,87,49,1.99,scattered clouds
227,Guanica,PR,17.9716,-66.908,78.15,81,23,1.01,few clouds
228,Kandrian,PG,-6.2167,149.55,83.16,75,92,14.63,overcast clouds
229,Mecca,SA,21.4267,39.8261,60.64,57,50,15.55,scattered clouds
230,Zaragoza,ES,41.6561,-0.8773,52.81,66,20,8.99,few clouds
231,Manta,EC,-0.95,-80.7333,82.18,74,40,4.61,scattered clouds
232,Nome,US,64.5011,-165.4064,6.87,56,0,10.36,clear sky
233,Alofi,NU,-19.0595,-169.9187,82.29,78,100,9.22,overcast clouds
234,Caravelas,BR,-17.7125,-39.2481,77.0,88,100,7.23,overcast clouds
235,Grindavik,IS,63.8424,-22.4338,27.07,74,100,12.66,overcast clouds
236,Warrington,GB,53.3925,-2.5802,42.46,81,40,5.99,scattered clouds
237,Lovington,US,32.944,-103.3485,40.32,25,0,1.99,clear sky
238,Woodstock,CA,43.1334,-80.7497,17.65,78,99,8.34,overcast clouds
239,Marietta,US,33.9526,-84.5499,43.61,91,100,12.66,overcast clouds
240,Iralaya,HN,15.0,-83.2333,80.42,71,6,8.68,clear sky
241,Madang,PG,-5.2246,145.7966,78.58,89,98,6.58,heavy intensity rain
