City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Nemuro,JP,21.88,few clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
83,Moree,AU,69.82,clear sky,-29.4667,149.85,Molika Springs Motel
85,Sobreira,PT,47.01,broken clouds,41.5237,-7.8023,Quinta de Santo Aleixo
86,Koumac,NC,82.38,moderate rain,-20.5667,164.2833,Le Monitel
87,Wilmington,US,72.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
88,Praia Da Vitoria,PT,57.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
89,Kruisfontein,ZA,63.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
90,Nogent-Le-Rotrou,FR,33.03,clear sky,48.3333,1.0,La Glatine
91,Elat,IL,58.84,broken clouds,29.5581,34.9482,Club Hotel Eilat
92,Varzea Grande,BR,85.87,few clouds,-15.6467,-56.1325,Hotel Express
93,Huarmey,PE,74.77,few clouds,-10.0681,-78.1522,Hotel Miramar
94,Salinas,US,69.89,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
95,Bagamoyo,TZ,76.87,moderate rain,-6.4333,38.9,Be Swahilid B and B
97,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
98,Guerrero Negro,MX,66.9,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
100,Karratha,AU,84.04,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
101,Altenstadt,DE,41.45,overcast clouds,50.2833,8.95,Hotel & Café am Limes
102,Takoradi,GH,80.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
106,Namibe,AO,72.75,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
107,Saldanha,ZA,63.72,clear sky,-33.0117,17.9442,Blue Bay Lodge
108,Nara,JP,38.48,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
109,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Khartoum,SD,64.02,clear sky,15.5518,32.5324,Hotel China
111,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
113,Teguise,ES,64.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
115,Dalbandin,PK,50.74,clear sky,28.8947,64.4101,Gidaan Guest House
117,Bluff,NZ,56.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
118,Olafsvik,IS,27.55,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
119,Ribeira Grande,PT,59.38,broken clouds,38.5167,-28.7,Quinta da Meia Eira
120,Castro,BR,67.59,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
122,Codrington,AU,63.12,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
123,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
124,Bethel,US,34.16,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
125,Bandipur,NP,42.67,overcast clouds,27.9333,84.4167,Bandipur Guest House
126,Foumban,CM,69.39,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
129,Kudahuvadhoo,MV,81.34,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
130,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
132,Miracema Do Tocantins,BR,80.62,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
133,Krasnaya Polyana,RU,27.45,snow,56.242,51.1442,Bereg
134,Banda Aceh,ID,77.97,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
135,Skibbereen,IE,45.1,clear sky,51.55,-9.2667,The West Cork Hotel
